T.ID,GP.Vol,NP.Vol,Wat.Vol,GT.Vol,NT.Vol,Prd.Lvl,Wat.Lvl,Ullage,Avg.Tmp,Prd.Wgt,Prd.Dens,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.43,    nan,    745,
[2017/08/01 00:04:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.32,   4787, 33.42,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.27,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.07,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.43,    nan,    745,
[2017/08/01 00:05:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.34,   4787, 33.42,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.46,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5890,      0,   5961,   5890,  66.88,  -0.19,  14464, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.20,   5320, 32.43,    nan,    745,
[2017/08/01 00:06:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.43,    nan,    745,
[2017/08/01 00:07:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.88,    nan,    745,
03,   5284,   5197,      0,   5284,   5197, 104.98,  -0.33,   4786, 33.42,    nan,    745,
04,   3700,   3641,      0,   3700,   3641,  82.76,  -0.44,   6370, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4403,  92.22,   0.07,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.05,  -0.20,   5320, 32.43,    nan,    745,
[2017/08/01 00:08:00] 

 01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5891,      0,   5961,   5891,  66.88,  -0.19,  14464, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.43,    nan,    745,
[2017/08/01 00:09:00] 

 01,   8535,   8437,      0,   8535,   8437,  87.21,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.35,   4714, 31.88,    nan,    745,
03,   5284,   5198,      0,   5284,   5198, 104.98,  -0.33,   4786, 33.42,    nan,    745,
04,   3698,   3640,      0,   3698,   3640,  82.74,  -0.46,   6372, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.43,    nan,    745,
[2017/08/01 00:10:00] 

 01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.46,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5891,      0,   5961,   5891,  66.88,  -0.19,  14464, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.44,    nan,    745,
[2017/08/01 00:11:00] 

 01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.35,   4714, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.74,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.19,  14463, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.08,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.44,    nan,    745,
[2017/08/01 00:12:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3700,   3641,      0,   3700,   3641,  82.76,  -0.46,   6370, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5891,      0,   5961,   5891,  66.88,  -0.19,  14464, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.44,    nan,    745,
[2017/08/01 00:13:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.32,   4787, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4403,  92.23,   0.07,   5589, 34.21,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.05,  -0.20,   5320, 32.44,    nan,    745,
[2017/08/01 00:14:00] 

 01,   8535,   8437,      0,   8535,   8437,  87.21,  -0.38,  11890, 33.11,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.88,    nan,    745,
03,   5284,   5197,      0,   5284,   5197, 104.98,  -0.33,   4786, 33.42,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5963,   5892,      0,   5963,   5892,  66.89,  -0.18,  14462, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.20,   5320, 32.44,    nan,    745,
[2017/08/01 00:15:00] 

 01,   8535,   8437,      0,   8535,   8437,  87.21,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3700,   3641,      0,   3700,   3641,  82.76,  -0.44,   6370, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5891,      0,   5961,   5891,  66.88,  -0.19,  14464, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.05,  -0.19,   5320, 32.44,    nan,    745,
[2017/08/01 00:16:00] 

 01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5890,      0,   5961,   5890,  66.87,  -0.19,  14464, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.20,   5320, 32.44,    nan,    745,
[2017/08/01 00:17:00] 

 01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.19,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.08,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.44,    nan,    745,
[2017/08/01 00:18:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.88,    nan,    745,
03,   5284,   5197,      0,   5284,   5197, 104.98,  -0.33,   4786, 33.41,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.44,    nan,    745,
[2017/08/01 00:19:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.32,   4787, 33.42,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.46,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5891,      0,   5961,   5891,  66.88,  -0.19,  14464, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.05,  -0.19,   5320, 32.44,    nan,    745,
[2017/08/01 00:20:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.92,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3700,   3641,      0,   3700,   3641,  82.76,  -0.45,   6370, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.44,    nan,    745,
[2017/08/01 00:21:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.92,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.41,    nan,    745,
04,   3698,   3640,      0,   3698,   3640,  82.74,  -0.45,   6372, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4403,  92.22,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.05,  -0.20,   5320, 32.44,    nan,    745,
[2017/08/01 00:22:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.35,   4714, 31.89,    nan,    745,
03,   5284,   5197,      0,   5284,   5197, 104.98,  -0.33,   4786, 33.41,    nan,    745,
04,   3700,   3641,      0,   3700,   3641,  82.76,  -0.46,   6370, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:23:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.89,    nan,    745,
03,   5284,   5197,      0,   5284,   5197, 104.98,  -0.33,   4786, 33.41,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4403,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.05,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:24:00] 

 01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.77,  -0.36,   4714, 31.89,    nan,    745,
03,   5284,   5198,      0,   5284,   5198, 104.98,  -0.33,   4786, 33.41,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.46,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5963,   5892,      0,   5963,   5892,  66.89,  -0.18,  14462, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.08,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:25:00] 

 01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.89,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.41,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.46,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5891,      0,   5961,   5891,  66.88,  -0.18,  14464, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4403,  92.22,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:26:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.89,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.34,   4787, 33.41,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.44,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5963,   5892,      0,   5963,   5892,  66.89,  -0.18,  14462, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.24,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.05,  -0.20,   5320, 32.45,    nan,    745,
[2017/08/01 00:27:00] 

 01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.89,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.41,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.05,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:28:00] 

 01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.24,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.89,    nan,    745,
03,   5284,   5197,      0,   5284,   5197, 104.98,  -0.33,   4786, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.74,  -0.46,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4403,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:29:00] 

 01,   8535,   8437,      0,   8535,   8437,  87.20,  -0.38,  11890, 33.24,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.36,   4715, 31.89,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.41,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.74,  -0.46,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5890,      0,   5961,   5890,  66.88,  -0.18,  14464, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:30:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.85,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.46,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.07,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:31:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.77,  -0.35,   4714, 31.89,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5960,   5889,      0,   5960,   5889,  66.87,  -0.19,  14465, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.08,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:32:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.35,   4714, 31.89,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3700,   3641,      0,   3700,   3641,  82.76,  -0.44,   6370, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5891,      0,   5961,   5891,  66.88,  -0.18,  14464, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.08,   5589, 34.17,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.45,    nan,    745,
[2017/08/01 00:33:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.35,   4714, 31.89,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.32,   4787, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.44,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5892,      0,   5962,   5892,  66.89,  -0.18,  14463, 33.62,    nan,    826,
