T.ID,GP.Vol,NP.Vol,Wat.Vol,GT.Vol,NT.Vol,Prd.Lvl,Wat.Lvl,Ullage,Avg.Tmp,Prd.Wgt,Prd.Dens,
01,   8536,   8437,      0,   8536,   8437,  87.21,  -0.38,  11889, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.88,    nan,    745,
03,   5284,   5197,      0,   5284,   5197, 104.98,  -0.33,   4786, 33.42,    nan,    745,
04,   3700,   3641,      0,   3700,   3641,  82.76,  -0.45,   6370, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.19,  14463, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4403,  92.23,   0.07,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.19,   5320, 32.43,    nan,    745,
[2017/08/01 00:01:00] 

 01,   8535,   8437,      0,   8535,   8437,  87.21,  -0.38,  11890, 33.29,    nan,    826,
02,   5356,   5278,      0,   5356,   5278, 108.76,  -0.36,   4714, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.33,   4787, 33.42,    nan,    745,
04,   3700,   3641,      0,   3700,   3641,  82.76,  -0.45,   6370, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5890,      0,   5961,   5890,  66.87,  -0.19,  14464, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.08,   5589, 34.18,    nan,    745,
08,   4750,   4678,      0,   4750,   4678,  97.04,  -0.20,   5320, 32.43,    nan,    745,
[2017/08/01 00:02:00] 

 01,   8535,   8437,      0,   8535,   8437,  87.21,  -0.38,  11890, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.35,   4715, 31.88,    nan,    745,
03,   5283,   5197,      0,   5283,   5197, 104.97,  -0.34,   4787, 33.42,    nan,    745,
04,   3699,   3640,      0,   3699,   3640,  82.75,  -0.46,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5962,   5891,      0,   5962,   5891,  66.88,  -0.18,  14463, 33.62,    nan,    826,
07,   4481,   4404,      0,   4481,   4404,  92.23,   0.07,   5589, 34.18,    nan,    745,
08,   4749,   4678,      0,   4749,   4678,  97.04,  -0.19,   5321, 32.43,    nan,    745,
[2017/08/01 00:03:00] 

 01,   8535,   8436,      0,   8535,   8436,  87.20,  -0.38,  11890, 33.29,    nan,    826,
02,   5355,   5278,      0,   5355,   5278, 108.76,  -0.35,   4715, 31.88,    nan,    745,
03,   5284,   5197,      0,   5284,   5197, 104.98,  -0.33,   4786, 33.42,    nan,    745,
04,   3699,   3641,      0,   3699,   3641,  82.75,  -0.45,   6371, 33.03,    nan,    745,
05,   2883,   2848,      0,   2883,   2848,  67.26,  -0.41,   7187, 33.82,    nan,    826,
06,   5961,   5891,      0,   5961,   5891,  66.88,  -0.19,  14464, 33.62,    nan,    826,
07,   4481,   4403,      0,   4481,   4404,  92.23,   0.07,   5589, 34.18,    nan,    745,
