T.ID,GP.Vol,NP.Vol,Wat.Vol,GT.Vol,NT.Vol,Prd.Lvl,Wat.Lvl,Ullage,Avg.Tmp,Prd.Wgt,Prd.Dens,
01,   7670,   7580,      0,   7670,   7580,  80.15,  -0.38,  12755, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5597,   5506,      0,   5597,   5506, 109.92,  -0.32,   4473, 33.37,    nan,    745,
04,   4920,   4843,      0,   4920,   4843, 102.04,  -0.46,   5150, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.26,  -0.41,   7072, 33.78,    nan,    826,
06,   4438,   4384,      0,   4438,   4384,  53.76,  -0.19,  15987, 33.88,    nan,    826,
07,   3719,   3648,      0,   3719,   3648,  79.85,   0.07,   6351, 35.77,    nan,    745,
08,   3362,   3308,      0,   3362,   3308,  75.16,  -0.19,   6708, 33.31,    nan,    745,
[2017/07/31 00:01:00] 

 01,   7670,   7580,      0,   7670,   7580,  80.15,  -0.38,  12755, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5597,   5506,      0,   5597,   5506, 109.93,  -0.32,   4473, 33.37,    nan,    745,
04,   4920,   4844,      0,   4920,   4844, 102.04,  -0.46,   5150, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.77,    nan,    826,
06,   4438,   4384,      0,   4438,   4384,  53.75,  -0.19,  15987, 33.88,    nan,    826,
07,   3719,   3648,      0,   3719,   3648,  79.85,   0.07,   6351, 35.76,    nan,    745,
08,   3363,   3308,      0,   3363,   3308,  75.16,  -0.20,   6707, 33.31,    nan,    745,
[2017/07/31 00:02:00] 

 01,   7670,   7580,      0,   7670,   7580,  80.15,  -0.38,  12755, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5597,   5506,      0,   5597,   5506, 109.93,  -0.32,   4473, 33.37,    nan,    745,
04,   4920,   4843,      0,   4920,   4843, 102.04,  -0.46,   5150, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.77,    nan,    826,
06,   4438,   4384,      0,   4438,   4384,  53.76,  -0.18,  15987, 33.88,    nan,    826,
07,   3719,   3648,      0,   3720,   3648,  79.85,   0.07,   6350, 35.76,    nan,    745,
08,   3362,   3308,      0,   3362,   3308,  75.16,  -0.19,   6708, 33.31,    nan,    745,
[2017/07/31 00:03:00] 

 01,   7671,   7580,      0,   7671,   7580,  80.15,  -0.38,  12754, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5597,   5506,      0,   5597,   5506, 109.93,  -0.32,   4473, 33.37,    nan,    745,
04,   4919,   4843,      0,   4919,   4843, 102.03,  -0.47,   5151, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.77,    nan,    826,
06,   4438,   4384,      0,   4438,   4384,  53.76,  -0.19,  15987, 33.88,    nan,    826,
07,   3719,   3648,      0,   3719,   3648,  79.85,   0.06,   6351, 35.76,    nan,    745,
08,   3362,   3308,      0,   3362,   3308,  75.16,  -0.19,   6708, 33.31,    nan,    745,
[2017/07/31 00:04:00] 

 01,   7670,   7580,      0,   7670,   7580,  80.15,  -0.38,  12755, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5598,   5506,      0,   5598,   5506, 109.93,  -0.32,   4472, 33.37,    nan,    745,
04,   4920,   4844,      0,   4920,   4844, 102.04,  -0.46,   5150, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.78,    nan,    826,
06,   4438,   4384,      0,   4438,   4384,  53.76,  -0.19,  15987, 33.88,    nan,    826,
07,   3719,   3648,      0,   3720,   3648,  79.85,   0.07,   6350, 35.76,    nan,    745,
08,   3362,   3308,      0,   3362,   3308,  75.16,  -0.19,   6708, 33.31,    nan,    745,
[2017/07/31 00:05:00] 

 01,   7670,   7579,      0,   7670,   7579,  80.15,  -0.38,  12755, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5597,   5506,      0,   5597,   5506, 109.93,  -0.32,   4473, 33.37,    nan,    745,
04,   4920,   4843,      0,   4920,   4843, 102.04,  -0.46,   5150, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.78,    nan,    826,
06,   4438,   4384,      0,   4438,   4384,  53.76,  -0.19,  15987, 33.88,    nan,    826,
07,   3719,   3648,      0,   3720,   3648,  79.85,   0.07,   6350, 35.76,    nan,    745,
08,   3362,   3308,      0,   3362,   3308,  75.16,  -0.19,   6708, 33.31,    nan,    745,
[2017/07/31 00:06:00] 

 01,   7670,   7579,      0,   7670,   7579,  80.14,  -0.39,  12755, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5598,   5507,      0,   5598,   5507, 109.93,  -0.32,   4472, 33.37,    nan,    745,
04,   4920,   4844,      0,   4920,   4844, 102.05,  -0.45,   5150, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.78,    nan,    826,
06,   4437,   4384,      0,   4437,   4384,  53.75,  -0.19,  15988, 33.88,    nan,    826,
07,   3719,   3648,      0,   3720,   3648,  79.85,   0.07,   6350, 35.76,    nan,    745,
08,   3363,   3308,      0,   3363,   3308,  75.16,  -0.19,   6707, 33.31,    nan,    745,
[2017/07/31 00:07:00] 

 01,   7670,   7579,      0,   7670,   7579,  80.14,  -0.39,  12755, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.36,   5968, 32.33,    nan,    745,
03,   5597,   5506,      0,   5597,   5506, 109.93,  -0.32,   4473, 33.37,    nan,    745,
04,   4920,   4843,      0,   4920,   4843, 102.04,  -0.46,   5150, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.78,    nan,    826,
06,   4438,   4385,      0,   4438,   4385,  53.76,  -0.19,  15987, 33.88,    nan,    826,
07,   3719,   3648,      0,   3719,   3648,  79.85,   0.07,   6351, 35.76,    nan,    745,
08,   3362,   3308,      0,   3362,   3308,  75.16,  -0.20,   6708, 33.31,    nan,    745,
[2017/07/31 00:08:00] 

 01,   7670,   7580,      0,   7670,   7580,  80.15,  -0.38,  12755, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5598,   5507,      0,   5598,   5507, 109.93,  -0.31,   4472, 33.37,    nan,    745,
04,   4920,   4843,      0,   4920,   4843, 102.04,  -0.46,   5150, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.77,    nan,    826,
06,   4438,   4384,      0,   4438,   4384,  53.76,  -0.19,  15987, 33.88,    nan,    826,
07,   3719,   3648,      0,   3720,   3648,  79.85,   0.07,   6350, 35.76,    nan,    745,
08,   3362,   3308,      0,   3362,   3308,  75.16,  -0.19,   6708, 33.31,    nan,    745,
[2017/07/31 00:09:00] 

 01,   7670,   7580,      0,   7670,   7580,  80.15,  -0.38,  12755, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5597,   5506,      0,   5597,   5506, 109.93,  -0.32,   4473, 33.37,    nan,    745,
04,   4919,   4843,      0,   4919,   4843, 102.03,  -0.47,   5151, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.78,    nan,    826,
06,   4437,   4383,      0,   4437,   4383,  53.75,  -0.18,  15988, 33.88,    nan,    826,
07,   3720,   3648,      0,   3720,   3648,  79.86,   0.07,   6350, 35.75,    nan,    745,
08,   3363,   3308,      0,   3363,   3308,  75.16,  -0.20,   6707, 33.31,    nan,    745,
[2017/07/31 00:10:00] 

 01,   7671,   7580,      0,   7671,   7580,  80.15,  -0.38,  12754, 33.55,    nan,    826,
02,   4102,   4040,      0,   4102,   4040,  88.76,  -0.37,   5968, 32.33,    nan,    745,
03,   5597,   5506,      0,   5597,   5506, 109.92,  -0.32,   4473, 33.37,    nan,    745,
04,   4920,   4843,      0,   4920,   4843, 102.04,  -0.46,   5150, 32.78,    nan,    745,
05,   2998,   2962,      0,   2998,   2962,  69.27,  -0.41,   7072, 33.78,    nan,    826,
06,   4438,   4385,      0,   4438,   4385,  53.76,  -0.19,  15987, 33.88,    nan,    826,
07,   3719,   3648,      0,   3719,   3648,  79.85,   0.07,   6351, 35.75,    nan,    745,
08,   3362,   3308,      0,   3362,   3308,  75.16,  -0.20,   6708, 33.31,    nan,    745,
[2017/07/31 00:11:00] 

